key,left_image,right_image,config,window_size,max_disparity,aggregate_window,time_midas_s,time_stereo_s,time_compare_s,time_total_s,is_warmup,mae,rmse,p50_abs_diff,p90_abs_diff,corr,disp_min,disp_max,midas_min,midas_max
000002,000002_11.png,000002_10.png,w7_d96_a9,7,96,9,0.4294210000007297,2.231553999998141,0.03596990000005462,2.6969448999989254,0,0.2447315752506256,0.3327140510082245,0.17302560806274414,0.5990785360336304,0.2922094772566324,0.0,95.0,-17.744457244873047,3306.87109375
000003,000003_11.png,000003_10.png,w7_d96_a9,7,96,9,0.5380826000000525,2.0484808000001067,0.038952700000663754,2.625516100000823,0,0.222200408577919,0.3026142418384552,0.14799922704696655,0.54416424036026,0.3974311205579281,0.0,95.0,47.66133117675781,3379.587646484375
000000,000000_11.png,000000_10.png,w7_d64_a11,7,64,11,0.46108950000052573,1.3173993999989762,0.02715369999714312,1.805642599996645,0,0.3095419406890869,0.39793750643730164,0.24643084406852722,0.6956244707107544,0.1938049916893127,0.0,63.0,-49.19353485107422,3567.53076171875
000001,000001_11.png,000001_10.png,w7_d64_a11,7,64,11,0.28036860000065644,1.308852599999227,0.02902620000168099,1.6182474000015645,0,0.2883792817592621,0.3643849492073059,0.2385706901550293,0.6222272515296936,0.2173697744623521,0.0,63.0,-92.45459747314453,3542.445068359375
000002,000002_11.png,000002_10.png,w7_d64_a11,7,64,11,0.2870619999994233,1.3695477999972354,0.031913899998471607,1.6885236999951303,0,0.24191440641880035,0.3272021412849426,0.17055340111255646,0.5887889862060547,0.2694979470700789,0.0,63.0,-17.744457244873047,3306.87109375
000003,000003_11.png,000003_10.png,w7_d64_a11,7,64,11,0.29576920000181417,1.339303500000824,0.028248700000403915,1.663321400003042,0,0.21968819200992584,0.29655084013938904,0.1477625072002411,0.5286816358566284,0.4251095698932759,0.0,63.0,47.66133117675781,3379.587646484375
000000,000000_11.png,000000_10.png,w5_d64_a9,5,64,9,0.2889771000009205,1.0208667000006244,0.026031900000816677,1.3358757000023616,0,0.30991488695144653,0.39830562472343445,0.24769195914268494,0.6934632062911987,0.1883567076035528,0.0,63.0,-49.19353485107422,3567.53076171875
000001,000001_11.png,000001_10.png,w5_d64_a9,5,64,9,0.28125490000093123,1.0127933000003395,0.02453570000216132,1.318583900003432,0,0.29024603962898254,0.3663919270038605,0.24188236892223358,0.6228377223014832,0.20376624411523878,0.0,63.0,-92.45459747314453,3542.445068359375
000002,000002_11.png,000002_10.png,w5_d64_a9,5,64,9,0.2778900999983307,1.0379253000028257,0.04076080000231741,1.3565762000034738,0,0.2566874921321869,0.3416611850261688,0.18473125994205475,0.6127122044563293,0.21488575719971467,0.0,63.0,-17.744457244873047,3306.87109375
000003,000003_11.png,000003_10.png,w5_d64_a9,5,64,9,0.28942319999987376,1.1567964999994729,0.050372599998809164,1.4965922999981558,0,0.2303430289030075,0.30891627073287964,0.15593425929546356,0.5485678911209106,0.382224240295979,0.0,63.0,47.66133117675781,3379.587646484375
